Distance to closest modifier, Stress
3.16767,1.40833e+08
2.79239,1.30903e+08
4.86761,1.30666e+08
2.3792,1.53971e+08
2.97971,1.52438e+08
2.55094,1.28734e+08
2.68144,1.34644e+08
2.88633,1.4278e+08
2.73302,1.32926e+08
3.27726,9.19154e+07
3.07889,8.50669e+07
3.82905,3.816e+07
2.82465,1.16493e+08
3.70989,1.09022e+08
4.20866,1.3088e+08
2.67469,1.22726e+08
3.93138,7.92945e+07
4.08072,1.12081e+08
3.53363,7.14447e+07
2.75309,1.90953e+08
4.42723,6.59055e+07
2.82153,9.43887e+07
3.8348,1.17627e+08
3.87674,2.13679e+07
3.87461,9.83881e+07
3.39185,1.0501e+08
4.46797,1.43128e+08
4.43373,9.64971e+07
2.33898,1.27061e+08
3.05832,1.17523e+08
2.59437,1.56604e+08
3.19786,8.77596e+07
3.21338,1.3477e+08
2.98521,1.26431e+08
2.71007,9.17761e+07
3.25563,1.07187e+08
2.85403,1.83184e+08
3.16396,1.08589e+08
2.35783,7.06914e+07
2.90315,1.20034e+08
4.24125,1.39259e+08
2.37959,1.28469e+08
3.41927,1.34384e+08
2.54099,1.32481e+08
2.36507,7.3554e+07
2.88601,1.10845e+08
3.54985,9.14166e+07
2.79901,1.32614e+08
3.18095,1.28756e+08
2.34973,1.36436e+08
5.52743,8.24985e+07
3.39404,1.29554e+08
3.29988,9.78759e+07
4.60066,1.07092e+08
3.84957,8.59697e+07
3.5131,1.2733e+08
3.28682,1.40562e+08
4.83832,1.32046e+08
3.07074,1.49789e+08
2.38557,1.52561e+08
2.67143,1.52193e+08
2.84431,1.55469e+08
2.35443,1.36932e+08
3.94022,4.21228e+07
2.86422,1.0741e+08
3.69627,1.05459e+08
4.30955,1.31841e+08
2.65672,1.32745e+08
4.05664,1.26497e+08
2.85297,1.24942e+08
4.46636,7.09948e+07
3.11327,9.50956e+07
2.80599,1.02122e+08
3.80931,1.9069e+07
3.86346,8.64579e+07
3.37908,1.13496e+08
4.50161,9.78069e+07
4.45565,1.3232e+08
2.36111,1.24013e+08
3.86443,1.22012e+08
3.92528,9.2568e+07
2.59655,1.45312e+08
3.26254,7.76815e+07
3.1755,1.32633e+08
2.86343,1.79314e+08
3.43002,1.40664e+08
3.06214,1.14161e+08
2.51389,1.37288e+08
2.33914,7.7507e+07
3.17747,1.07652e+08
2.34735,7.03342e+07
2.90019,1.26439e+08
2.98827,1.24946e+08
3.58531,9.17274e+07
2.9121,1.12178e+08
3.28881,1.3995e+08
2.79645,1.42795e+08
3.08505,1.542e+08
2.3542,1.49836e+08
3.15903,1.28486e+08
2.85719,1.44785e+08
3.95621,4.24493e+07
3.6097,1.02965e+08
4.80791,1.40613e+08
2.6517,1.30182e+08
2.7223,1.46766e+08
4.44705,8.02577e+07
3.06885,8.92966e+07
2.80854,9.86054e+07
2.83847,1.0989e+08
4.228,1.27813e+08
2.54377,1.59348e+08
4.45476,1.01742e+08
4.47683,1.31922e+08
